Company,Theme,Level,Level Name,Use Case,Status,Capability to implement to others,Solution Name,Solution Description,Function in Solution,In-house / Vendor development,Folder_URL
TMA,Production EQ Maintenance,3,Condition-based MTN,Spare Parts Inventory Management,Yellow,Yes,TMA Spare Parts Inventory Management Platform,Provides end-to-end visibility and Condition-based MTN capabilities for TMA operations.,Automated Production EQ Maintenance monitoring for Spare Parts Inventory Management,In-house,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L3%20-%20Production%20EQ%20Maintenance?csf=1&web=1&e=cnsOHP
TMA,Production EQ Maintenance,3,Condition-based MTN,Maintenance Control Center,Yellow,Yes,TMA Maintenance Control Center Platform,Provides end-to-end visibility and Condition-based MTN capabilities for TMA operations.,Automated Production EQ Maintenance monitoring for Maintenance Control Center,In-house,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L3%20-%20Production%20EQ%20Maintenance?csf=1&web=1&e=cnsOHP
TMA,Production EQ Maintenance,2,Standardized PMRS,Assignment Board,Green,Yes,TMA Assignment Board Platform,Provides end-to-end visibility and Standardized PMRS capabilities for TMA operations.,Automated Production EQ Maintenance monitoring for Assignment Board,Co-development,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L2%20-%20Production%20EQ%20Maintenance?csf=1&web=1&e=pnFGPN
TMA,Production EQ Maintenance,2,Standardized PMRS,Standardized Skill Matrix,Green,Yes,TMA Standardized Skill Matrix Platform,Provides end-to-end visibility and Standardized PMRS capabilities for TMA operations.,Automated Production EQ Maintenance monitoring for Standardized Skill Matrix,Vendor,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L2%20-%20Production%20EQ%20Maintenance?csf=1&web=1&e=pnFGPN
TMA,Quality Reform,5,Establish NDC involving Design/PE (Digital Transformation),Prescriptive problem analysis with auto generate & reflect to Design/PE,Yellow,Yes,TMA Prescriptive problem analysis with auto generate & reflect to Design/PE Platform,Provides end-to-end visibility and Establish NDC involving Design/PE (Digital Transformation) capabilities for TMA operations.,Automated Quality Reform monitoring for Prescriptive problem analysis with auto generate & reflect to Design/PE,Co-development,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L5%20-%20Quality%20Reform?csf=1&web=1&e=mooqPQ
TMA,Quality Reform,5,Establish NDC involving Design/PE (Digital Transformation),Generative AI Quality (Market – Plant – PE – Supplier – Design),Red,Yes,TMA Generative AI Quality (Market – Plant – PE – Supplier – Design) Platform,Provides end-to-end visibility and Establish NDC involving Design/PE (Digital Transformation) capabilities for TMA operations.,Automated Quality Reform monitoring for Generative AI Quality (Market – Plant – PE – Supplier – Design),In-house,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L5%20-%20Quality%20Reform?csf=1&web=1&e=mooqPQ
TMA,Quality Reform,5,Establish NDC involving Design/PE (Digital Transformation),"Component, Product, Process Digital Twin",Red,Yes,"TMA Component, Product, Process Digital Twin Platform",Provides end-to-end visibility and Establish NDC involving Design/PE (Digital Transformation) capabilities for TMA operations.,"Automated Quality Reform monitoring for Component, Product, Process Digital Twin",Vendor,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L5%20-%20Quality%20Reform?csf=1&web=1&e=mooqPQ
TMA,Quality Reform,4,Quality Build‑In at process points (Digitalization),Predictive Quality Advanced EQ Parameter & Heineken,Yellow,Yes,TMA Predictive Quality Advanced EQ Parameter & Heineken Platform,Provides end-to-end visibility and Quality Build‑In at process points (Digitalization) capabilities for TMA operations.,Automated Quality Reform monitoring for Predictive Quality Advanced EQ Parameter & Heineken,Co-development,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L4%20-%20Quality%20Reform?csf=1&web=1&e=HmzLLJ
TMA,Quality Reform,4,Quality Build‑In at process points (Digitalization),Automate abnormality feedback/indication (IT operation) with root cause identify,Yellow,Yes,TMA Automate abnormality feedback/indication (IT operation) with root cause identify Platform,Provides end-to-end visibility and Quality Build‑In at process points (Digitalization) capabilities for TMA operations.,Automated Quality Reform monitoring for Automate abnormality feedback/indication (IT operation) with root cause identify,Co-development,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L4%20-%20Quality%20Reform?csf=1&web=1&e=HmzLLJ
TMA,Quality Reform,4,Quality Build‑In at process points (Digitalization),"Real‑time defect information, alert & action",Yellow,Yes,"TMA Real‑time defect information, alert & action Platform",Provides end-to-end visibility and Quality Build‑In at process points (Digitalization) capabilities for TMA operations.,"Automated Quality Reform monitoring for Real‑time defect information, alert & action",Co-development,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L4%20-%20Quality%20Reform?csf=1&web=1&e=HmzLLJ
TMA,Quality Reform,4,Quality Build‑In at process points (Digitalization),Predictive EQ quality negligence (Occur Prevention),Red,No,TMA Predictive EQ quality negligence (Occur Prevention) Platform,Provides end-to-end visibility and Quality Build‑In at process points (Digitalization) capabilities for TMA operations.,Automated Quality Reform monitoring for Predictive EQ quality negligence (Occur Prevention),In-house,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L4%20-%20Quality%20Reform?csf=1&web=1&e=HmzLLJ
TMA,Quality Reform,3,Quality data Integration (Digitalization),QMS System with data backbone,Green,Yes,TMA QMS System with data backbone Platform,Provides end-to-end visibility and Quality data Integration (Digitalization) capabilities for TMA operations.,Automated Quality Reform monitoring for QMS System with data backbone,In-house,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L3%20-%20Quality%20Reform?csf=1&web=1&e=ktayKc
TMA,Quality Reform,3,Quality data Integration (Digitalization),Centralized & Real‑time EQ parameter IIOT,Green,Yes,TMA Centralized & Real‑time EQ parameter IIOT Platform,Provides end-to-end visibility and Quality data Integration (Digitalization) capabilities for TMA operations.,Automated Quality Reform monitoring for Centralized & Real‑time EQ parameter IIOT,Co-development,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L3%20-%20Quality%20Reform?csf=1&web=1&e=ktayKc
TMA,Quality Reform,3,Quality data Integration (Digitalization),AI Camera Inspection (Auto judgement),Green,Yes,TMA AI Camera Inspection (Auto judgement) Platform,Provides end-to-end visibility and Quality data Integration (Digitalization) capabilities for TMA operations.,Automated Quality Reform monitoring for AI Camera Inspection (Auto judgement),In-house,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L3%20-%20Quality%20Reform?csf=1&web=1&e=ktayKc
TMA,Quality Reform,2,Digital Quality info (Digitization),Digital Camera Capturing Function (Capture & Final judge by human),Green,Yes,TMA Digital Camera Capturing Function (Capture & Final judge by human) Platform,Provides end-to-end visibility and Digital Quality info (Digitization) capabilities for TMA operations.,Automated Quality Reform monitoring for Digital Camera Capturing Function (Capture & Final judge by human),Vendor,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L2%20-%20Quality%20Reform?csf=1&web=1&e=wkIfPQ
TMA,Quality Reform,2,Digital Quality info (Digitization),Digital Digital Autograding,Yellow,Yes,TMA Digital Digital Autograding Platform,Provides end-to-end visibility and Digital Quality info (Digitization) capabilities for TMA operations.,Automated Quality Reform monitoring for Digital Digital Autograding,In-house,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L2%20-%20Quality%20Reform?csf=1&web=1&e=wkIfPQ
TMA,Quality Reform,2,Digital Quality info (Digitization),Genba e‑board,Green,Yes,TMA Genba e‑board Platform,Provides end-to-end visibility and Digital Quality info (Digitization) capabilities for TMA operations.,Automated Quality Reform monitoring for Genba e‑board,Co-development,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L2%20-%20Quality%20Reform?csf=1&web=1&e=wkIfPQ
TMA,Quality Reform,2,Digital Quality info (Digitization),IoT QA Analytics,Green,Yes,TMA IoT QA Analytics Platform,Provides end-to-end visibility and Digital Quality info (Digitization) capabilities for TMA operations.,Automated Quality Reform monitoring for IoT QA Analytics,Co-development,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L2%20-%20Quality%20Reform?csf=1&web=1&e=wkIfPQ
TMA,Quality Reform,2,Digital Quality info (Digitization),Digital TraI activities,Yellow,Yes,TMA Digital TraI activities Platform,Provides end-to-end visibility and Digital Quality info (Digitization) capabilities for TMA operations.,Automated Quality Reform monitoring for Digital TraI activities,In-house,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L2%20-%20Quality%20Reform?csf=1&web=1&e=wkIfPQ
TMA,Quality Reform,2,Digital Quality info (Digitization),AR Guided Visual Inspection,Green,Yes,TMA AR Guided Visual Inspection Platform,Provides end-to-end visibility and Digital Quality info (Digitization) capabilities for TMA operations.,Automated Quality Reform monitoring for AR Guided Visual Inspection,Co-development,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L2%20-%20Quality%20Reform?csf=1&web=1&e=wkIfPQ
TMA,Quality Reform,2,Digital Quality info (Digitization),M/C Data Monitoring for EQ parameter,Yellow,Yes,TMA M/C Data Monitoring for EQ parameter Platform,Provides end-to-end visibility and Digital Quality info (Digitization) capabilities for TMA operations.,Automated Quality Reform monitoring for M/C Data Monitoring for EQ parameter,Vendor,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L2%20-%20Quality%20Reform?csf=1&web=1&e=wkIfPQ
TMA,Digitized Workplace,5,Digital Native – Adaptive & Prescriptive,Agentic AI Connected Workforce,Red,Yes,TMA Agentic AI Connected Workforce Platform,Provides end-to-end visibility and Digital Native – Adaptive & Prescriptive capabilities for TMA operations.,Automated Digitized Workplace monitoring for Agentic AI Connected Workforce,Co-development,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L5%20-%20Digitized%20Workplace?csf=1&web=1&e=wbY2Sd
TMA,Digitized Workplace,5,Digital Native – Adaptive & Prescriptive,Digital Twin for Heineken Simulation,Red,No,TMA Digital Twin for Heineken Simulation Platform,Provides end-to-end visibility and Digital Native – Adaptive & Prescriptive capabilities for TMA operations.,Automated Digitized Workplace monitoring for Digital Twin for Heineken Simulation,Co-development,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L5%20-%20Digitized%20Workplace?csf=1&web=1&e=wbY2Sd
TMA,Digitized Workplace,5,Digital Native – Adaptive & Prescriptive,Gen AI – Digital Prod. Coach,Yellow,Yes,TMA Gen AI – Digital Prod. Coach Platform,Provides end-to-end visibility and Digital Native – Adaptive & Prescriptive capabilities for TMA operations.,Automated Digitized Workplace monitoring for Gen AI – Digital Prod. Coach,Vendor,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L5%20-%20Digitized%20Workplace?csf=1&web=1&e=wbY2Sd
TMA,Digitized Workplace,4,Digital Platform – Data Integrated & Predictive,Plant Digital Asakai with Predictive Analysis,Red,No,TMA Plant Digital Asakai with Predictive Analysis Platform,Provides end-to-end visibility and Digital Platform – Data Integrated & Predictive capabilities for TMA operations.,Automated Digitized Workplace monitoring for Plant Digital Asakai with Predictive Analysis,Vendor,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L4%20-%20Digitized%20Workplace?csf=1&web=1&e=AwcEPX
TMA,Digitized Workplace,3,Digital Connectivity – Data Connected,Digital / AR Assisted Work Instructions,Yellow,No,TMA Digital / AR Assisted Work Instructions Platform,Provides end-to-end visibility and Digital Connectivity – Data Connected capabilities for TMA operations.,Automated Digitized Workplace monitoring for Digital / AR Assisted Work Instructions,In-house,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L3%20-%20Digitized%20Workplace?csf=1&web=1&e=ccRgPQ
TMA,Digitized Workplace,3,Digital Connectivity – Data Connected,Shopfloor Digital Asakai,Yellow,Yes,TMA Shopfloor Digital Asakai Platform,Provides end-to-end visibility and Digital Connectivity – Data Connected capabilities for TMA operations.,Automated Digitized Workplace monitoring for Shopfloor Digital Asakai,Co-development,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L3%20-%20Digitized%20Workplace?csf=1&web=1&e=ccRgPQ
TMA,Digitized Workplace,3,Digital Connectivity – Data Connected,Connected Workforce (Digital Shopfloor Mgmt. System),Yellow,Yes,TMA Connected Workforce (Digital Shopfloor Mgmt. System) Platform,Provides end-to-end visibility and Digital Connectivity – Data Connected capabilities for TMA operations.,Automated Digitized Workplace monitoring for Connected Workforce (Digital Shopfloor Mgmt. System),Co-development,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L3%20-%20Digitized%20Workplace?csf=1&web=1&e=ccRgPQ
TMA,Digitized Workplace,2,Digital Base – Data Collection,Digital Dashboards by Area,Green,Yes,TMA Digital Dashboards by Area Platform,Provides end-to-end visibility and Digital Base – Data Collection capabilities for TMA operations.,Automated Digitized Workplace monitoring for Digital Dashboards by Area,Vendor,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L2%20-%20Digitized%20Workplace?csf=1&web=1&e=7CQMPN
TMA,Digitized Workplace,2,Digital Base – Data Collection,Digital Entry Prod. Tracking,Green,Yes,TMA Digital Entry Prod. Tracking Platform,Provides end-to-end visibility and Digital Base – Data Collection capabilities for TMA operations.,Automated Digitized Workplace monitoring for Digital Entry Prod. Tracking,Co-development,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L2%20-%20Digitized%20Workplace?csf=1&web=1&e=7CQMPN
TMA,Digitized Workplace,2,Digital Base – Data Collection,Shopfloor Digital Workflow,Yellow,Yes,TMA Shopfloor Digital Workflow Platform,Provides end-to-end visibility and Digital Base – Data Collection capabilities for TMA operations.,Automated Digitized Workplace monitoring for Shopfloor Digital Workflow,Vendor,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L2%20-%20Digitized%20Workplace?csf=1&web=1&e=7CQMPN
TMA,Digitized Workplace,2,Digital Base – Data Collection,Digital Kanban,Green,No,TMA Digital Kanban Platform,Provides end-to-end visibility and Digital Base – Data Collection capabilities for TMA operations.,Automated Digitized Workplace monitoring for Digital Kanban,Co-development,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L2%20-%20Digitized%20Workplace?csf=1&web=1&e=7CQMPN
TMA,Agile & Optimize Supply Operation,5,Fully Transparent and Proactive Communication,Demand Forecast Planning & Scheduling (Agentic AI enabled),Red,Yes,TMA Demand Forecast Planning & Scheduling (Agentic AI enabled) Platform,Provides end-to-end visibility and Fully Transparent and Proactive Communication capabilities for TMA operations.,Automated Agile & Optimize Supply Operation monitoring for Demand Forecast Planning & Scheduling (Agentic AI enabled),In-house,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L5%20-%20Agile%20%26%20Optimize%20Supply%20Operation?csf=1&web=1&e=G5yoiU
TMA,Agile & Optimize Supply Operation,5,Fully Transparent and Proactive Communication,Supply chain nerve center,Red,No,TMA Supply chain nerve center Platform,Provides end-to-end visibility and Fully Transparent and Proactive Communication capabilities for TMA operations.,Automated Agile & Optimize Supply Operation monitoring for Supply chain nerve center,Co-development,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L5%20-%20Agile%20%26%20Optimize%20Supply%20Operation?csf=1&web=1&e=G5yoiU
TMA,Agile & Optimize Supply Operation,4,Predictive Connectivity,E2E Logistics Control Tower (Parts & Vehicle Exports),Red,Yes,TMA E2E Logistics Control Tower (Parts & Vehicle Exports) Platform,Provides end-to-end visibility and Predictive Connectivity capabilities for TMA operations.,Automated Agile & Optimize Supply Operation monitoring for E2E Logistics Control Tower (Parts & Vehicle Exports),Co-development,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L4%20-%20Agile%20%26%20Optimize%20Supply%20Operation?csf=1&web=1&e=ZDMu0x
